country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","09-12-2025 21:00:00",14.675886,77.593027,OZONE,19,67,58
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","09-12-2025 21:00:00",13.204880,79.097889,PM2.5,69,280,161
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","09-12-2025 21:00:00",13.204880,79.097889,OZONE,49,54,51
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","09-12-2025 21:00:00",14.465052,78.824187,SO2,7,14,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","09-12-2025 21:00:00",14.465052,78.824187,OZONE,14,25,23
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-12-2025 21:00:00",16.9872867,81.7363176,PM2.5,74,249,149
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-12-2025 21:00:00",16.9872867,81.7363176,PM10,87,168,130
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-12-2025 21:00:00",16.9872867,81.7363176,NO2,20,89,38
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-12-2025 21:00:00",16.9872867,81.7363176,CO,22,56,40
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-12-2025 21:00:00",16.9872867,81.7363176,OZONE,10,39,30
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","09-12-2025 21:00:00",13.67,79.35,NO2,13,32,25
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-12-2025 21:00:00",16.554731,80.649110,SO2,12,24,17
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-12-2025 21:00:00",17.72,83.3,PM2.5,113,312,207
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-12-2025 21:00:00",17.72,83.3,PM10,127,454,215
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-12-2025 21:00:00",17.72,83.3,NH3,3,3,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-12-2025 21:00:00",27.103358,93.679645,PM10,16,297,105
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-12-2025 21:00:00",27.103358,93.679645,NO2,6,7,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-12-2025 21:00:00",26.071318,91.87488,PM2.5,103,282,161
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","09-12-2025 21:00:00",13.67,79.35,CO,22,40,32
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","09-12-2025 21:00:00",13.615387,79.409230,PM2.5,48,65,55
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","09-12-2025 21:00:00",13.615387,79.409230,NO2,13,17,15
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","09-12-2025 21:00:00",16.536107,80.594233,CO,36,47,44
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","09-12-2025 21:00:00",16.486692,80.699436,PM2.5,40,75,55
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","09-12-2025 21:00:00",16.509717,80.612222,PM10,62,112,84
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","09-12-2025 21:00:00",26.146529,87.454184,PM10,42,193,130
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","09-12-2025 21:00:00",26.146529,87.454184,OZONE,9,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","09-12-2025 21:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","09-12-2025 21:00:00",24.75746,84.366208,OZONE,7,18,14
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-12-2025 21:00:00",25.42742023,86.13886079,NO2,17,35,21
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-12-2025 21:00:00",25.42742023,86.13886079,CO,12,42,29
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","09-12-2025 21:00:00",25.567520,83.966379,NO2,9,10,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","09-12-2025 21:00:00",25.7808257,84.7446768,PM10,38,403,177
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","09-12-2025 21:00:00",25.7808257,84.7446768,NH3,6,9,8
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-12-2025 21:00:00",24.7955,84.9994,PM2.5,99,349,215
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-12-2025 21:00:00",24.7955,84.9994,SO2,8,28,13
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-12-2025 21:00:00",24.7955,84.9994,CO,36,110,74
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","09-12-2025 21:00:00",25.251013,86.989001,PM10,120,179,156
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","09-12-2025 21:00:00",25.251013,86.989001,OZONE,11,24,16
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","09-12-2025 21:00:00",25.265194,87.012947,CO,38,105,61
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","09-12-2025 21:00:00",25.204762,85.514960,PM2.5,113,331,265
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","09-12-2025 21:00:00",25.204762,85.514960,PM10,86,178,138
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","09-12-2025 21:00:00",11.654054,92.734055,NO2,6,35,20
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","09-12-2025 21:00:00",11.654054,92.734055,NH3,1,4,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","09-12-2025 21:00:00",16.5150833,80.5181667,NH3,2,4,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","09-12-2025 21:00:00",14.675886,77.593027,NO2,24,29,25
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","09-12-2025 21:00:00",24.762518,84.982348,PM2.5,32,67,40
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","09-12-2025 21:00:00",24.762518,84.982348,NO2,20,23,21
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","09-12-2025 21:00:00",24.762518,84.982348,NH3,3,3,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-12-2025 21:00:00",25.697189,85.245900,PM10,83,163,112
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-12-2025 21:00:00",25.697189,85.245900,NO2,28,98,56
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-12-2025 21:00:00",25.697189,85.245900,SO2,2,16,7
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-12-2025 21:00:00",26.181742,91.78063,CO,26,94,52
India,Assam,Silchar,"Tarapur, Silchar - PCBA","09-12-2025 21:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","09-12-2025 21:00:00",24.82827,92.79525,OZONE,1,7,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","09-12-2025 21:00:00",26.987634,94.636574,CO,4,113,33
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-12-2025 21:00:00",26.071318,91.87488,SO2,5,9,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-12-2025 21:00:00",26.071318,91.87488,OZONE,15,28,23
India,Assam,Guwahati,"IITG, Guwahati - PCBA","09-12-2025 21:00:00",26.2028636,91.70046436,NO2,1,8,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","09-12-2025 21:00:00",26.10887,91.589544,OZONE,9,13,12
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","09-12-2025 21:00:00",26.1403345,85.3650192,PM10,68,85,77
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","09-12-2025 21:00:00",26.1209,85.3647,NO2,9,19,12
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","09-12-2025 21:00:00",26.1209,85.3647,SO2,4,7,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","09-12-2025 21:00:00",25.586562,85.043586,PM2.5,90,343,227
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","09-12-2025 21:00:00",25.586562,85.043586,NH3,7,26,13
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-12-2025 21:00:00",25.592539,85.227158,PM2.5,61,72,66
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-12-2025 21:00:00",25.592539,85.227158,NO2,21,50,33
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","09-12-2025 21:00:00",25.592539,85.227158,NH3,4,5,5
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","09-12-2025 21:00:00",21.219665,81.630094,OZONE,3,16,9
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,PM2.5,32,134,61
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,NO2,17,25,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","09-12-2025 21:00:00",21.237755,81.705301,OZONE,1,4,2
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","09-12-2025 21:00:00",21.371751,81.664929,SO2,4,5,4
